neuron,concept,score,margin,status,mean_activation,max_activation,active_fraction,top_candidates
666,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
667,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
668,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
669,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
670,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
671,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
672,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
673,filtered_too_rare,0.0,0.0,too_rare,4.452976554603083e-06,0.012451961636543274,0.001,
674,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
675,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
676,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
677,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
678,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
679,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
680,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
681,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
682,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
683,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
684,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
685,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
686,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
687,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
688,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
689,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
690,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
691,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
692,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
693,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
694,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
695,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
696,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
697,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
698,filtered_always_on,0.0,0.0,always_on,0.040830280631780624,0.12149152904748917,0.9953333333333333,
699,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
700,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
701,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
702,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
703,filtered_always_on,0.0,0.0,always_on,0.023416992276906967,0.060527488589286804,0.997,
704,filtered_always_on,0.0,0.0,always_on,0.024307401850819588,0.06657527387142181,0.9943333333333333,
705,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
706,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
707,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
708,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
709,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
710,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
711,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
712,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
713,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
714,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
715,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
716,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
717,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
718,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
719,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
720,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
721,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
722,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
723,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
724,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
725,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
726,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
727,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
